Codice attacco,Test Number,Data inizio attacco,Data fine attacco,Exit code
T1001.002  - ,1,2024-06-19T10:13:01+02:00,2024-06-19T10:13:04+02:00,0
T1001.002  - ,2,2024-06-19T10:13:07+02:00,2024-06-19T10:13:09+02:00,0
T1003  - ,1,2024-06-19T10:13:12+02:00,2024-06-19T10:13:12+02:00,1
T1003  - ,2,2024-06-19T10:13:14+02:00,2024-06-19T10:13:15+02:00,0
T1003  - ,3,2024-06-19T10:13:18+02:00,2024-06-19T10:13:20+02:00,0
T1003  - ,4,2024-06-19T10:13:23+02:00,2024-06-19T10:13:25+02:00,0
T1003  - ,5,2024-06-19T10:13:27+02:00,2024-06-19T10:13:29+02:00,0
T1003  - ,6,2024-06-19T10:13:33+02:00,2024-06-19T10:13:34+02:00,0
T1003  - ,7,2024-06-19T10:13:38+02:00,2024-06-19T10:13:42+02:00,0
T1003.001  - ,1,2024-06-19T10:13:45+02:00,2024-06-19T10:13:46+02:00,1
T1003.001  - ,2,2024-06-19T10:13:48+02:00,2024-06-19T10:13:50+02:00,0
T1003.001  - ,3,2024-06-19T10:13:53+02:00,2024-06-19T10:13:54+02:00,1
T1003.001  - ,4,2024-06-19T10:13:56+02:00,2024-06-19T10:13:56+02:00,1
T1003.001  - ,5,2024-06-19T10:13:58+02:00,2024-06-19T10:13:58+02:00,1
T1003.001  - ,6,2024-06-19T10:14:00+02:00,2024-06-19T10:14:00+02:00,1
T1003.001  - ,7,2024-06-19T10:14:02+02:00,2024-06-19T10:14:03+02:00,1
T1003.001  - ,8,2024-06-19T10:14:04+02:00,2024-06-19T10:14:11+02:00,0
T1003.001  - ,9,2024-06-19T10:14:14+02:00,2024-06-19T10:14:14+02:00,1
T1003.001  - ,10,2024-06-19T10:14:16+02:00,2024-06-19T10:14:43+02:00,0
T1003.001  - ,11,2024-06-19T10:14:45+02:00,2024-06-19T10:14:47+02:00,0
T1003.001  - ,12,2024-06-19T10:14:50+02:00,2024-06-19T10:14:51+02:00,0
T1003.001  - ,13,2024-06-19T10:14:55+02:00,2024-06-19T10:14:57+02:00,0
T1003.001  - ,14,2024-06-19T10:15:00+02:00,2024-06-19T10:15:01+02:00,1
T1003.002  - ,1,2024-06-19T10:15:03+02:00,2024-06-19T10:15:03+02:00,0
T1003.002  - ,2,2024-06-19T10:15:06+02:00,2024-06-19T10:15:06+02:00,1
T1003.002  - ,3,2024-06-19T10:15:08+02:00,2024-06-19T10:15:12+02:00,0
T1003.002  - ,4,2024-06-19T10:15:14+02:00,2024-06-19T10:15:16+02:00,0
T1003.002  - ,5,2024-06-19T10:15:19+02:00,2024-06-19T10:15:19+02:00,1
T1003.002  - ,6,2024-06-19T10:15:21+02:00,2024-06-19T10:15:23+02:00,0
T1003.002  - ,7,2024-06-19T10:15:26+02:00,2024-06-19T10:15:36+02:00,0
T1003.003  - ,1,2024-06-19T10:15:39+02:00,2024-06-19T10:15:39+02:00,2
T1003.003  - ,2,2024-06-19T10:15:41+02:00,2024-06-19T10:15:41+02:00,0
T1003.003  - ,3,2024-06-19T10:15:43+02:00,2024-06-19T10:15:43+02:00,1
T1003.003  - ,4,2024-06-19T10:15:45+02:00,2024-06-19T10:15:46+02:00,0
T1003.003  - ,5,2024-06-19T10:15:47+02:00,2024-06-19T10:15:48+02:00,0
T1003.003  - ,6,2024-06-19T10:15:50+02:00,2024-06-19T10:15:50+02:00,0
T1003.003  - ,7,2024-06-19T10:15:53+02:00,2024-06-19T10:16:00+02:00,0
T1003.003  - ,8,2024-06-19T10:16:03+02:00,2024-06-19T10:16:04+02:00,0
T1003.003  - ,9,2024-06-19T10:16:06+02:00,2024-06-19T10:16:06+02:00,1
T1003.004  - ,1,2024-06-19T10:16:08+02:00,2024-06-19T10:16:08+02:00,1
T1003.005  - ,1,2024-06-19T10:16:11+02:00,2024-06-19T10:16:11+02:00,0
T1003.006  - ,1,2024-06-19T10:16:13+02:00,2024-06-19T10:16:13+02:00,1
T1003.006  - ,2,2024-06-19T10:16:15+02:00,2024-06-19T10:16:16+02:00,0
T1005  - ,1,2024-06-19T10:16:19+02:00,2024-06-19T10:16:25+02:00,0
T1006  - ,1,2024-06-19T10:16:28+02:00,2024-06-19T10:16:29+02:00,0
T1007  - ,1,2024-06-19T10:16:32+02:00,2024-06-19T10:16:32+02:00,0
T1007  - ,2,2024-06-19T10:16:34+02:00,2024-06-19T10:16:35+02:00,0
T1010  - ,1,2024-06-19T10:16:37+02:00,2024-06-19T10:16:38+02:00,0
T1012  - ,1,2024-06-19T10:16:40+02:00,2024-06-19T10:17:02+02:00,1
T1012  - ,2,2024-06-19T10:17:03+02:00,2024-06-19T10:17:09+02:00,0
T1012  - ,3,2024-06-19T10:17:11+02:00,2024-06-19T10:19:05+02:00,-1
T1016  - ,1,2024-06-19T10:19:08+02:00,2024-06-19T10:19:08+02:00,0
T1016  - ,2,2024-06-19T10:19:10+02:00,2024-06-19T10:19:11+02:00,0
T1016  - ,3,2024-06-19T10:19:13+02:00,2024-06-19T10:19:34+02:00,1
T1016  - ,4,2024-06-19T10:19:37+02:00,2024-06-19T10:19:39+02:00,0
T1016  - ,5,2024-06-19T10:19:43+02:00,2024-06-19T10:19:43+02:00,1
T1016  - ,6,2024-06-19T10:19:45+02:00,2024-06-19T10:20:09+02:00,0
T1016  - ,7,2024-06-19T10:20:11+02:00,2024-06-19T10:20:11+02:00,0
T1016.002  - ,1,2024-06-19T10:20:13+02:00,2024-06-19T10:20:13+02:00,1
T1018  - ,1,2024-06-19T10:20:15+02:00,2024-06-19T10:21:00+02:00,2
T1018  - ,2,2024-06-19T10:21:02+02:00,2024-06-19T10:21:02+02:00,2
T1018  - ,3,2024-06-19T10:21:05+02:00,2024-06-19T10:21:14+02:00,0
T1018  - ,4,2024-06-19T10:21:16+02:00,2024-06-19T10:23:13+02:00,-1073741502
T1018  - ,5,2024-06-19T10:23:18+02:00,2024-06-19T10:23:21+02:00,0
T1018  - ,6,2024-06-19T10:23:26+02:00,2024-06-19T10:24:13+02:00,0
T1018  - ,7,2024-06-19T10:24:17+02:00,2024-06-19T10:24:18+02:00,1
T1018  - ,8,2024-06-19T10:24:20+02:00,2024-06-19T10:24:21+02:00,1
T1018  - ,9,2024-06-19T10:24:25+02:00,2024-06-19T10:24:26+02:00,1
T1018  - ,10,2024-06-19T10:24:29+02:00,2024-06-19T10:24:33+02:00,0
T1018  - ,11,2024-06-19T10:24:37+02:00,2024-06-19T10:24:40+02:00,0
T1018  - ,12,2024-06-19T10:24:43+02:00,2024-06-19T10:24:46+02:00,0
T1018  - ,13,2024-06-19T10:24:53+02:00,2024-06-19T10:25:02+02:00,0
T1018  - ,14,2024-06-19T10:25:06+02:00,2024-06-19T10:25:13+02:00,-2146233087
T1018  - ,15,2024-06-19T10:25:17+02:00,2024-06-19T10:25:18+02:00,2
T1018  - ,16,2024-06-19T10:25:20+02:00,2024-06-19T10:25:22+02:00,0
T1020  - ,1,2024-06-19T10:25:28+02:00,2024-06-19T10:25:31+02:00,0
T1020  - ,2,2024-06-19T10:25:35+02:00,2024-06-19T10:27:25+02:00,-1
T1021.001  - ,1,2024-06-19T10:27:29+02:00,2024-06-19T10:27:32+02:00,0
T1021.001  - ,2,2024-06-19T10:27:36+02:00,2024-06-19T10:27:40+02:00,0
T1021.001  - ,3,2024-06-19T10:27:46+02:00,2024-06-19T10:27:47+02:00,0
T1021.001  - ,4,2024-06-19T10:27:53+02:00,2024-06-19T10:27:53+02:00,0
T1021.002  - ,1,2024-06-19T10:27:55+02:00,2024-06-19T10:28:01+02:00,2
